brand,model,body_type,energy,vehicle_price_eur,co2_mixed_g_km,fuel_consumption_l_100km,electric_range_km,max_power_kw,vehicle_weight_kg,eco_bonus_malus_eur,power_weight_ratio
B.M.W.,SERIE X,ts terrains/chemins,gaz+elec hnr,78000,195.0,7.448,0.0,250.0,2005,Malus,0.12468827930174564
RENAULT,TRAFIC,minibus,gazole,42550,203.6,7.756,0.0,110.0,1963,Malus,0.056036678553234846
B.M.W.,SERIE 5,break,gaz+elec hnr,72588,171.6,6.555,0.0,210.0,1925,Malus,0.10909090909090909
ALFA ROMEO,GIULIA,berline,gazole,50883,142.1,5.422,0.0,140.0,1465,Malus,0.09556313993174062
FORD,TRANSIT CUSTOM,minibus,gazole,45097,281.95,10.751,0.0,95.6,2015,Malus,0.04744416873449131
B.M.W.,SERIE X,ts terrains/chemins,gaz+elec hnr,78000,195.0,7.448,0.0,250.0,2005,Malus,0.12468827930174564
B.M.W.,SERIE 4,coupe,essence,53100,163.6,7.201,0.0,135.0,1525,Malus,0.08852459016393442
FORD,ECOSPORT,ts terrains/chemins,essence,25900,150.65,6.61,0.0,92.0,1284,Malus,0.07165109034267912
B.M.W.,X4 M,ts terrains/chemins,essence,111350,251.0,11.036,0.0,375.0,2010,Malus,0.1865671641791045
KIA,EV6,ts terrains/chemins,electric,67690,,0.0,424.0,0.0,2125,Neutre 0,0.0
LAMBORGHIN,AVENTADOR,cabriolet,essence,350000,442.0,18.0,0.0,574.0,1715,Malus,0.3346938775510204
RENAULT,MEGANE E-TECH ELECTRIC,berline,electric,43632,,0.0,395.0,0.0,1636,Bonus 6000,0.0
KIA,STONIC,ts terrains/chemins,ess+elec hnr,25270,128.0,5.627,0.0,88.3,1150,Malus,0.07678260869565218
FORD,KUGA,ts terrains/chemins,ess+elec hnr,43590,145.77,6.358,0.0,112.0,1626,Malus,0.06888068880688807
B.M.W.,SERIE 4,coupe,gaz+elec hnr,62850,157.5,6.009,0.0,210.0,1780,Malus,0.11797752808988764
VOLKSWAGEN,CADDY,combispace,gazole,37343,150.7,5.747,0.0,90.0,1580,Malus,0.056962025316455694
RENAULT,CAPTUR,ts terrains/chemins,ess+elec hnr,30200,142.43,6.302,0.0,116.0,1321,Malus,0.08781226343679031
HONDA,JAZZ,minispace,ess+elec hnr,25920,113.49,5.001,0.0,72.0,1225,Neutre 0,0.05877551020408163
B.M.W.,SERIE 1,berline,essence,37510,155.2,6.809,0.0,100.0,1320,Malus,0.07575757575757576
ALFA ROMEO,STELVIO,ts terrains/chemins,essence,67260,205.6,9.122,0.0,206.0,1660,Malus,0.12409638554216867
FIAT,500,berline,electric,32267,,0.0,282.0,0.0,1325,Bonus 4000,0.0
B.M.W.,SERIE 1,berline,essence,35210,154.9,6.815,0.0,100.0,1290,Malus,0.07751937984496124
RENAULT,TRAFIC,minibus,gazole,42550,203.6,7.756,0.0,110.0,1981,Malus,0.05552751135790005
FORD,ECOSPORT,ts terrains/chemins,essence,25900,150.65,6.61,0.0,92.0,1284,Malus,0.07165109034267912
KIA,SPORTAGE,ts terrains/chemins,gaz+elec hnr,40423,138.9,5.302,0.0,100.0,1527,Malus,0.06548788474132286
HONDA,JAZZ,minispace,ess+elec hnr,25920,113.49,5.001,0.0,72.0,1225,Neutre 0,0.05877551020408163
ALFA ROMEO,STELVIO,ts terrains/chemins,essence,58950,207.97,9.202,0.0,148.0,1660,Malus,0.0891566265060241
KIA,SPORTAGE,ts terrains/chemins,gaz+elec hnr,40423,138.9,5.302,0.0,100.0,1527,Malus,0.06548788474132286
MINI,MINI,berline,essence,40700,162.4,7.138,0.0,170.0,1275,Malus,0.13333333333333333
